career_name,category,description,required_skills
Backend Developer,Tech,A role as a Backend Developer focusing on core responsibilities and industry demands.,"Polity, History, Cloud, C++, Node.js"
ML Engineer,Tech,A role as a ML Engineer focusing on core responsibilities and industry demands.,"C++, React, Teamwork, Flask, Algorithms"
GATE Aspirant,Exam,A role as a GATE Aspirant focusing on core responsibilities and industry demands.,"Cybersecurity, Polity, REST APIs, Django, HTML, C++, Computer Vision"
GATE Aspirant,Exam,A role as a GATE Aspirant focusing on core responsibilities and industry demands.,"Machine Learning, Teamwork, Node.js, Data Structures, REST APIs, History"
Data Scientist,Tech,A role as a Data Scientist focusing on core responsibilities and industry demands.,"JavaScript, Python, Blockchain, Polity, Data Structures"
Frontend Developer,Tech,A role as a Frontend Developer focusing on core responsibilities and industry demands.,"Python, Machine Learning, HTML, Cloud, Current Affairs, Linux"
Full Stack Developer,Tech,A role as a Full Stack Developer focusing on core responsibilities and industry demands.,"Deep Learning, Machine Learning, NLP, Node.js, Python, JavaScript"
Software Tester,Tech,A role as a Software Tester focusing on core responsibilities and industry demands.,"Java, Leadership, Data Structures, Blockchain, Cybersecurity, REST APIs"
AI Engineer,Tech,A role as a AI Engineer focusing on core responsibilities and industry demands.,"Algorithms, JavaScript, Java, Cybersecurity"
Cybersecurity Analyst,Tech,A role as a Cybersecurity Analyst focusing on core responsibilities and industry demands.,"Computer Vision, Statistics, Git, Critical Thinking, Python, NLP, Ethics"
Blockchain Developer,Tech,A role as a Blockchain Developer focusing on core responsibilities and industry demands.,"Machine Learning, Statistics, History, Communication, Cybersecurity, Linux"
Cloud Architect,Tech,A role as a Cloud Architect focusing on core responsibilities and industry demands.,"Git, Critical Thinking, CSS, Ethics, Algorithms, NLP"
Blockchain Developer,Tech,A role as a Blockchain Developer focusing on core responsibilities and industry demands.,"Leadership, Flask, React, Linux, C++, Python, NLP"
Data Scientist,Tech,A role as a Data Scientist focusing on core responsibilities and industry demands.,"Algorithms, Deep Learning, Cloud, Node.js"
Bank PO,Government,A role as a Bank PO focusing on core responsibilities and industry demands.,"Linux, Communication, Critical Thinking, Deep Learning, JavaScript"
Data Scientist,Tech,A role as a Data Scientist focusing on core responsibilities and industry demands.,"HTML, Algorithms, Git, Leadership, Flask, SQL, Machine Learning"
DevOps Engineer,Tech,A role as a DevOps Engineer focusing on core responsibilities and industry demands.,"Git, Cloud, Teamwork, C++, Ethics, Leadership, Node.js"
GATE Aspirant,Exam,A role as a GATE Aspirant focusing on core responsibilities and industry demands.,"Machine Learning, Ethics, Django, Git"
Technical Writer,Content,A role as a Technical Writer focusing on core responsibilities and industry demands.,"Data Structures, Current Affairs, Java, Teamwork, Python"
UI/UX Designer,Design,A role as a UI/UX Designer focusing on core responsibilities and industry demands.,"Ethics, Statistics, CSS, HTML, Cybersecurity"
GATE Aspirant,Exam,A role as a GATE Aspirant focusing on core responsibilities and industry demands.,"Deep Learning, HTML, NLP, Computer Vision, CSS, Data Structures"
AI Engineer,Tech,A role as a AI Engineer focusing on core responsibilities and industry demands.,"Django, Computer Vision, Cybersecurity, History, Polity, SQL"
Research Scholar,Academics,A role as a Research Scholar focusing on core responsibilities and industry demands.,"Flask, NLP, Communication, Data Structures, Leadership"
Cloud Architect,Tech,A role as a Cloud Architect focusing on core responsibilities and industry demands.,"Ethics, Critical Thinking, Algorithms, Current Affairs"
Backend Developer,Tech,A role as a Backend Developer focusing on core responsibilities and industry demands.,"Cloud, History, Critical Thinking, CSS, Computer Vision, Data Structures"
Software Tester,Tech,A role as a Software Tester focusing on core responsibilities and industry demands.,"Current Affairs, Data Structures, REST APIs, Cybersecurity, Git, Node.js, Python"
ML Engineer,Tech,A role as a ML Engineer focusing on core responsibilities and industry demands.,"Cybersecurity, JavaScript, Algorithms, Deep Learning"
Blockchain Developer,Tech,A role as a Blockchain Developer focusing on core responsibilities and industry demands.,"Node.js, History, C++, Ethics, NLP, Data Structures, Leadership"
Civil Services,Government,A role as a Civil Services focusing on core responsibilities and industry demands.,"Polity, Machine Learning, Deep Learning, Python, Critical Thinking, Django"
Cloud Architect,Tech,A role as a Cloud Architect focusing on core responsibilities and industry demands.,"Teamwork, C++, SQL, Python, REST APIs"
ML Engineer,Tech,A role as a ML Engineer focusing on core responsibilities and industry demands.,"Data Structures, Ethics, Node.js, Communication"
Civil Services,Government,A role as a Civil Services focusing on core responsibilities and industry demands.,"Linux, Teamwork, Machine Learning, SQL, Data Structures, Java, Git"
ML Engineer,Tech,A role as a ML Engineer focusing on core responsibilities and industry demands.,"Critical Thinking, NLP, Git, Node.js, Ethics, Blockchain"
Blockchain Developer,Tech,A role as a Blockchain Developer focusing on core responsibilities and industry demands.,"Polity, Current Affairs, CSS, Cybersecurity"
Software Tester,Tech,A role as a Software Tester focusing on core responsibilities and industry demands.,"Git, Deep Learning, Cloud, History, Polity"
Bank PO,Government,A role as a Bank PO focusing on core responsibilities and industry demands.,"Cybersecurity, HTML, Blockchain, Cloud, Statistics, Leadership"
Product Manager,Management,A role as a Product Manager focusing on core responsibilities and industry demands.,"Current Affairs, Polity, Git, Machine Learning, Linux, Blockchain, Teamwork"
Data Scientist,Tech,A role as a Data Scientist focusing on core responsibilities and industry demands.,"HTML, Deep Learning, REST APIs, Node.js, Flask, Java, C++"
UI/UX Designer,Design,A role as a UI/UX Designer focusing on core responsibilities and industry demands.,"Teamwork, CSS, React, HTML, Node.js"
Technical Writer,Content,A role as a Technical Writer focusing on core responsibilities and industry demands.,"React, Git, Node.js, Java"
Game Developer,Tech,A role as a Game Developer focusing on core responsibilities and industry demands.,"Communication, Polity, Django, CSS"
Bank PO,Government,A role as a Bank PO focusing on core responsibilities and industry demands.,"Critical Thinking, Deep Learning, Linux, Data Structures, Polity, C++"
Product Manager,Management,A role as a Product Manager focusing on core responsibilities and industry demands.,"React, Algorithms, HTML, Python"
Cybersecurity Analyst,Tech,A role as a Cybersecurity Analyst focusing on core responsibilities and industry demands.,"Blockchain, NLP, Computer Vision, HTML, Ethics, Machine Learning, SQL"
DevOps Engineer,Tech,A role as a DevOps Engineer focusing on core responsibilities and industry demands.,"Polity, Machine Learning, Statistics, SQL, Deep Learning, C++"
Software Tester,Tech,A role as a Software Tester focusing on core responsibilities and industry demands.,"Computer Vision, Git, C++, Node.js"
Frontend Developer,Tech,A role as a Frontend Developer focusing on core responsibilities and industry demands.,"NLP, Java, Machine Learning, Current Affairs, React"
UI/UX Designer,Design,A role as a UI/UX Designer focusing on core responsibilities and industry demands.,"Leadership, SQL, Current Affairs, Deep Learning, Critical Thinking, Linux"
Frontend Developer,Tech,A role as a Frontend Developer focusing on core responsibilities and industry demands.,"React, REST APIs, Git, Ethics, Cybersecurity, Django"
Product Manager,Management,A role as a Product Manager focusing on core responsibilities and industry demands.,"Teamwork, React, HTML, Cybersecurity"
UI/UX Designer,Design,A role as a UI/UX Designer focusing on core responsibilities and industry demands.,"JavaScript, Flask, Python, HTML, Current Affairs, Algorithms"
Blockchain Developer,Tech,A role as a Blockchain Developer focusing on core responsibilities and industry demands.,"Flask, Current Affairs, Deep Learning, Linux, C++, SQL"
Blockchain Developer,Tech,A role as a Blockchain Developer focusing on core responsibilities and industry demands.,"Current Affairs, History, Flask, Statistics, NLP, Linux, Cybersecurity"
Software Tester,Tech,A role as a Software Tester focusing on core responsibilities and industry demands.,"Blockchain, History, JavaScript, Deep Learning"
AI Engineer,Tech,A role as a AI Engineer focusing on core responsibilities and industry demands.,"Cloud, Statistics, Flask, Polity, Blockchain"
Software Tester,Tech,A role as a Software Tester focusing on core responsibilities and industry demands.,"Data Structures, Cybersecurity, Node.js, NLP, Ethics, Git"
Software Tester,Tech,A role as a Software Tester focusing on core responsibilities and industry demands.,"Blockchain, JavaScript, History, Teamwork"
ML Engineer,Tech,A role as a ML Engineer focusing on core responsibilities and industry demands.,"Node.js, SQL, Django, Git, Ethics, Cloud"
ML Engineer,Tech,A role as a ML Engineer focusing on core responsibilities and industry demands.,"Flask, Algorithms, Teamwork, Data Structures, Cybersecurity, C++, Cloud"
Research Scholar,Academics,A role as a Research Scholar focusing on core responsibilities and industry demands.,"Blockchain, Linux, Ethics, NLP"
Software Tester,Tech,A role as a Software Tester focusing on core responsibilities and industry demands.,"Communication, Teamwork, Critical Thinking, REST APIs"
UI/UX Designer,Design,A role as a UI/UX Designer focusing on core responsibilities and industry demands.,"Polity, JavaScript, Cloud, Blockchain, Deep Learning, Linux, Django"
Game Developer,Tech,A role as a Game Developer focusing on core responsibilities and industry demands.,"SQL, C++, Current Affairs, Computer Vision, JavaScript"
Data Scientist,Tech,A role as a Data Scientist focusing on core responsibilities and industry demands.,"Statistics, Machine Learning, Linux, React, Ethics, Deep Learning"
Technical Writer,Content,A role as a Technical Writer focusing on core responsibilities and industry demands.,"HTML, Cloud, Teamwork, Flask"
Data Scientist,Tech,A role as a Data Scientist focusing on core responsibilities and industry demands.,"History, Deep Learning, CSS, Communication, Linux"
Game Developer,Tech,A role as a Game Developer focusing on core responsibilities and industry demands.,"NLP, C++, Linux, Critical Thinking, CSS, REST APIs, Blockchain"
UI/UX Designer,Design,A role as a UI/UX Designer focusing on core responsibilities and industry demands.,"NLP, Cybersecurity, Flask, Cloud"
Game Developer,Tech,A role as a Game Developer focusing on core responsibilities and industry demands.,"Teamwork, HTML, React, Polity, Blockchain"
Blockchain Developer,Tech,A role as a Blockchain Developer focusing on core responsibilities and industry demands.,"Critical Thinking, React, Algorithms, Computer Vision"
Data Scientist,Tech,A role as a Data Scientist focusing on core responsibilities and industry demands.,"Blockchain, C++, Leadership, Teamwork, History, CSS, Data Structures"
Cybersecurity Analyst,Tech,A role as a Cybersecurity Analyst focusing on core responsibilities and industry demands.,"Java, Django, History, Communication"
Backend Developer,Tech,A role as a Backend Developer focusing on core responsibilities and industry demands.,"Linux, CSS, Cloud, Python, Computer Vision, SQL, React"
DevOps Engineer,Tech,A role as a DevOps Engineer focusing on core responsibilities and industry demands.,"Blockchain, Algorithms, REST APIs, Polity, Critical Thinking, Cloud, Django"
Technical Writer,Content,A role as a Technical Writer focusing on core responsibilities and industry demands.,"Statistics, Git, Computer Vision, Critical Thinking, Java, Machine Learning"
GRE Aspirant,Exam,A role as a GRE Aspirant focusing on core responsibilities and industry demands.,"Critical Thinking, JavaScript, Python, Polity, Deep Learning"
Technical Writer,Content,A role as a Technical Writer focusing on core responsibilities and industry demands.,"Linux, Cybersecurity, Leadership, CSS, Flask, HTML, Critical Thinking"
Technical Writer,Content,A role as a Technical Writer focusing on core responsibilities and industry demands.,"Statistics, Leadership, Flask, NLP"
DevOps Engineer,Tech,A role as a DevOps Engineer focusing on core responsibilities and industry demands.,"Linux, React, Django, Polity, JavaScript, Java, Flask"
ML Engineer,Tech,A role as a ML Engineer focusing on core responsibilities and industry demands.,"Leadership, Data Structures, Teamwork, Git"
Cloud Architect,Tech,A role as a Cloud Architect focusing on core responsibilities and industry demands.,"Flask, Polity, JavaScript, React, Python, Communication"
Cloud Architect,Tech,A role as a Cloud Architect focusing on core responsibilities and industry demands.,"Polity, Computer Vision, Machine Learning, Leadership, SQL, CSS, Node.js"
Blockchain Developer,Tech,A role as a Blockchain Developer focusing on core responsibilities and industry demands.,"Critical Thinking, Git, History, Python, Django"
Research Scholar,Academics,A role as a Research Scholar focusing on core responsibilities and industry demands.,"Cybersecurity, Flask, Computer Vision, REST APIs, NLP"
Blockchain Developer,Tech,A role as a Blockchain Developer focusing on core responsibilities and industry demands.,"REST APIs, Teamwork, Linux, Deep Learning, Django"
Software Tester,Tech,A role as a Software Tester focusing on core responsibilities and industry demands.,"Blockchain, Deep Learning, Polity, Cybersecurity, SQL, Machine Learning"
Technical Writer,Content,A role as a Technical Writer focusing on core responsibilities and industry demands.,"Machine Learning, Java, Leadership, SQL"
Bank PO,Government,A role as a Bank PO focusing on core responsibilities and industry demands.,"Data Structures, Java, Statistics, Computer Vision, Machine Learning"
